"Cow Number","Robot","Group number","Lac. no","Lactation days","Day production","Total Intake","Programmed Total","Total Rest","Days Pregnant","Att. Too Low","Fat indication","Protein indication","Fat/Protein Ratio","Fat/Protein remark","Lactose indication","Impact of Cell Count on Herd","SCC Indication"
"2109","103","4","1","199","19.3","6.68","7.26","0.17","","","5.03","3.33","1.51","","","0.3","56"
"1225","102","5","5","406","19.4","7.02","7.30","0.14","134","","5.11","3.69","1.38","","","0.5","87"
"1231","103","5","7","232","19.4","6.81","7.38","0.11","","","5.16","3.13","1.65","","","0.5","98"
"2154","102","4","1","48","19.4","7.16","10.00","4.21","","","3.98","3.37","1.18","","","0.4","66"
"1366","103","5","5","242","19.7","7.43","7.52","0.10","","","5.37","3.47","1.55","","","0.8","128"
"2203","101","4","1","52","19.7","5.02","10.00","1.51","","","4.42","3.65","1.21","","","0.7","130"
"1907","102","5","3","243","19.8","6.45","7.02","0.37","","","4.66","3.19","1.46","","","0.6","98"
"1463","103","5","4","235","19.8","7.13","8.01","0.40","","","5.53","3.70","1.49","","","1.1","172"
"2012","102","5","2","220","19.9","7.56","7.71","0.24","","","4.98","3.06","1.63","","","0.3","39"
"1922","102","5","3","202","20.0","6.67","7.69","0.50","","","5.52","3.34","1.65","","","0.7","132"
"1381","102","5","3","384","20.2","7.32","8.29","0.21","155","","5.71","3.82","1.49","","","0.1","15"
"1385","101","5","3","404","20.3","8.04","8.90","0.09","130","","6.00","3.67","1.63","","","0.4","69"
"1888","103","5","3","202","20.4","10.16","8.22","0.31","","","6.18","4.05","1.53","","","0.8","135"
"1283","102","5","4","239","20.6","6.94","7.56","1.58","154","","5.03","3.26","1.54","","","5.2","807"
"1311","101","5","4","404","20.6","7.24","7.62","0.17","","","4.41","3.21","1.37","","","0.3","43"
"2008","102","5","2","243","20.6","6.18","7.00","1.09","","","4.27","3.07","1.39","","","0.4","69"
"2028","102","5","2","220","20.8","6.54","7.34","0.10","","","4.57","3.03","1.51","","","0.4","61"
"1347","101","5","5","242","21.0","7.13","8.28","1.36","","","5.28","3.20","1.65","","","0.6","95"
"2110","102","4","1","238","21.0","7.48","7.88","0.13","","","4.39","3.36","1.31","","","0.6","108"
"1901","103","5","3","243","21.1","6.78","7.47","0.16","","","4.58","2.96","1.55","","","1.2","189"
"2128","102","4","1","50","21.1","5.87","10.00","4.50","","","3.85","3.11","1.24","","","0.7","90"
"1380","102","5","3","220","21.2","7.48","7.64","0.12","154","","4.69","3.42","1.37","","","0.5","76"
"2004","103","5","2","240","21.3","6.21","7.24","0.09","130","","4.69","3.41","1.38","","","0.6","91"
"1917","101","5","3","183","21.4","8.15","8.29","0.10","","","6.18","3.70","1.67","","","0.5","72"
"2005","101","5","2","245","21.5","7.16","7.54","0.15","","","4.56","3.34","1.37","","","0.3","42"
"2016","101","5","2","183","21.5","3.83","10.49","1.71","","x","4.47","3.33","1.34","","","0.5","88"
"1394","101","5","3","241","21.6","7.43","8.02","0.54","132","","5.50","3.66","1.50","","","2.1","352"
"1351","101","5","4","240","21.8","7.85","8.09","0.98","","","5.78","3.12","1.85","","","0.8","134"
"1904","101","5","3","240","21.8","6.66","7.37","0.14","154","","4.89","3.38","1.45","","","0.1","19"
"1327","103","5","4","219","22.4","7.35","8.44","1.05","","","5.08","3.28","1.55","","","0.6","96"
"1925","102","5","3","32","22.9","8.46","10.00","5.34","","","4.73","3.22","1.47","","","0.5","66"
"1353","103","5","5","30","23.0","6.18","10.00","2.29","","","4.09","3.26","1.25","","","0.9","143"
"1376","103","5","3","222","23.0","8.02","9.49","1.21","133","","5.94","3.68","1.61","","","0.8","124"
"1384","101","5","3","233","23.0","7.37","8.20","1.30","","","4.59","3.33","1.38","","","1.4","212"
"1909","102","5","3","239","23.0","9.37","8.32","0.32","","","4.76","3.30","1.44","","","0.7","97"
"2114","103","5","2","51","23.1","9.21","10.00","1.21","","","4.57","2.97","1.54","Ketosis","","0.4","53"
"1251","103","5","5","228","23.2","7.01","9.15","0.55","","","4.96","3.33","1.49","","","1.2","170"
"2201","101","4","1","53","23.2","9.69","10.00","0.16","","","3.58","3.01","1.19","","","0.6","74"
"2002","102","5","2","213","23.5","7.67","9.01","2.06","","","4.80","3.32","1.45","","","1.0","133"
"1368","102","5","4","193","23.8","8.93","9.09","0.17","","","5.53","3.63","1.52","","","0.9","111"
"2202","101","4","1","57","24.0","7.45","10.00","0.13","","","3.24","3.01","1.08","","","0.6","82"
"1379","103","5","4","178","24.1","11.13","8.85","0.12","","","4.71","3.40","1.39","","","0.2","32"
"1881","101","5","3","243","24.1","10.57","8.95","0.76","","","5.19","3.82","1.36","","","0.5","76"
"2010","102","5","2","235","24.2","6.91","8.00","0.83","","","4.83","3.26","1.48","","","0.0","4"
"1905","102","5","3","238","24.3","7.50","8.45","0.98","","","4.50","3.16","1.42","","","0.2","24"
"1466","101","5","3","235","24.4","7.68","8.57","1.17","","","4.81","3.06","1.57","","","0.9","128"
"1313","102","5","5","237","24.6","8.95","8.65","0.14","","","4.80","3.16","1.52","","","0.6","79"
"1315","102","5","5","241","24.8","7.59","8.77","0.35","","","4.83","3.31","1.46","","","0.5","68"
"2111","103","5","2","50","24.8","6.80","10.00","3.22","","","3.88","3.21","1.21","","","0.7","101"
"1375","103","5","3","406","25.4","7.56","9.38","0.25","","","5.55","3.71","1.50","","","0.8","113"
"2151","102","4","1","35","25.5","8.69","10.00","0.81","","","3.76","3.28","1.15","","","0.3","45"
