"Cow Number","Milk Visit Date Time","Visit Result","Away","Last Routing Date Time","Last Routing Direction","Group ","Reproduction","Lactation days"
"1381","2024-04-12 09:55","Successful","02:06","2024-04-12 09:59","d Grazing A","Milking Cows","Pregnant","384"
"1380","2024-04-12 11:56","Successful","00:05","2024-04-12 11:58","d Grazing A","Milking Cows","Pregnant","220"
"1378","2024-04-12 07:56","Successful","04:04","2024-04-12 07:57","d Grazing A","Milking Cows","Open","196"
"1376","2024-04-12 01:26","Successful","10:35","2024-04-12 07:58","d Grazing A","Milking Cows","Pregnant","222"
"1375","2024-04-12 10:01","Successful","01:59","2024-04-12 10:07","d Grazing A","Milking Cows","Open","406"
"1373","2024-04-12 04:36","Successful","07:24","2024-04-12 08:48","d Grazing A","Milking Cows","Pregnant","189"
"1370","2024-04-12 10:34","Successful","01:27","2024-04-12 10:37","d Grazing A","Milking Cows","Open","50"
"1369","2024-04-12 03:48","Successful","08:12","2024-04-12 08:02","d Grazing A","Milking Cows","Open","238"
"1368","2024-04-12 11:43","Successful","00:17","2024-04-12 11:46","d Grazing A","Milking Cows","Open","193"
"1367","2024-04-12 10:20","Successful","01:41","2024-04-12 10:22","d Grazing A","Milking Cows","Pregnant","401"
"1356","2024-04-12 09:21","Successful","02:39","2024-04-12 09:25","d Grazing A","Milking Cows","Open","177"
"1353","2024-04-12 08:23","Successful","03:38","2024-04-12 08:25","d Grazing A","Milking Cows","Open","30"
"1351","2024-04-12 08:26","Successful","03:35","2024-04-12 08:27","d Grazing A","Milking Cows","Open","240"
"1346","2024-04-12 07:35","Successful","04:25","2024-04-12 07:45","d Grazing A","Milking Cows","Open","44"
"1342","2024-04-12 09:47","Successful","02:13","2024-04-12 09:50","d Grazing A","Milking Cows","Pregnant","235"
"1337","2024-04-12 07:31","Successful","04:29","2024-04-12 07:47","d Grazing A","Milking Cows","Pregnant","408"
"1333","2024-04-12 06:00","Successful","06:01","2024-04-12 08:38","d Grazing A","Milking Cows","Open","53"
"1328","2024-04-12 07:44","Successful","04:17","2024-04-12 07:48","d Grazing A","Milking Cows","Pregnant","408"
"1327","2024-04-12 00:29","Successful","11:31","2024-04-12 07:45","d Grazing A","Milking Cows","Open","219"
"1322","2024-04-12 07:40","Successful","04:21","2024-04-12 07:46","d Grazing A","Milking Cows","Open","238"
"1315","2024-04-12 02:02","Successful","09:58","2024-04-12 08:00","d Grazing A","Milking Cows","Open","241"
"1313","2024-04-12 08:36","Successful","03:24","2024-04-12 08:38","d Grazing A","Milking Cows","Open","237"
"1311","2024-04-12 08:15","Successful","03:46","2024-04-12 08:18","d Grazing A","Milking Cows","Open","404"
"1291","2024-04-12 08:04","Successful","03:57","2024-04-12 08:05","d Grazing A","Milking Cows","Open","55"
"1281","2024-04-12 07:21","Successful","04:40","2024-04-12 07:57","d Grazing A","Milking Cows","Open","27"
"1273","2024-04-12 07:14","Successful","04:47","2024-04-12 07:45","d Grazing A","Milking Cows","Pregnant","411"
"1270","2024-04-12 09:12","Successful","02:49","2024-04-12 09:16","d Grazing A","Milking Cows","Open","29"
"1269","2024-04-12 08:17","Successful","03:43","2024-04-12 08:23","d Grazing A","Milking Cows","Open","45"
"1267","2024-04-12 11:31","Successful","00:29","2024-04-12 11:41","d Grazing A","Milking Cows","Pregnant","240"
"1266","2024-04-12 02:48","Successful","03:08","2024-04-12 08:54","d Grazing A","Milking Cows","Open","52"
"1264","2024-04-12 09:04","Successful","02:56","2024-04-12 09:07","d Grazing A","Milking Cows","Open","51"
"1256","2024-04-12 07:45","Successful","04:15","2024-04-12 08:14","d Grazing A","Milking Cows","Pregnant","201"
"1232","2024-04-12 07:39","Successful","04:22","2024-04-12 07:48","d Grazing A","Milking Cows","Open","224"
"1231","2024-04-12 11:34","Successful","00:26","2024-04-12 11:41","d Grazing A","Milking Cows","Open","232"
"1225","2024-04-12 04:32","Successful","07:29","2024-04-12 08:12","d Grazing A","Milking Cows","Pregnant","406"
"1215","2024-04-12 02:41","Successful","09:19","2024-04-12 08:35","d Grazing A","Milking Cows","Open","48"
"1194","2024-04-12 08:10","Successful","03:50","2024-04-12 08:11","d Grazing A","Milking Cows","Open","50"
"1134","2024-04-12 07:18","Successful","04:43","2024-04-12 07:46","d Grazing A","Milking Cows","Open","48"
