Cow Number,Robot,Group number,Lac. no,Lactation days,Day production,Total Intake,Programmed Total,Total Rest,Days Pregnant,Att. Too Low,Fat indication,Protein indication,Fat/Protein Ratio,Fat/Protein remark,Lactose indication,Impact of Cell Count on Herd,SCC Indication
2102,102.0,4.0,1.0,421,15.0,3.51,7.0,0.23,155.0,,5.2,3.86,1.35,,,0.8,171.0
2110,102.0,4.0,1.0,238,21.0,7.48,7.88,0.13,,,4.39,3.36,1.31,,,0.6,108.0
2117,102.0,4.0,1.0,407,9.5,6.56,7.0,1.8,154.0,,5.99,3.61,1.66,,,0.4,151.0
2122,102.0,4.0,1.0,244,16.8,9.45,7.0,0.35,,,4.61,3.4,1.36,,,0.2,64.0
2128,102.0,4.0,1.0,50,21.1,5.87,10.0,4.5,,,3.85,3.11,1.24,,,0.7,90.0
2129,102.0,4.0,1.0,243,14.9,7.15,7.0,0.32,,,4.39,3.17,1.38,,,0.1,14.0
2144,102.0,4.0,1.0,52,10.9,3.02,10.0,6.98,,,4.61,3.55,1.3,,,0.6,148.0
2151,102.0,4.0,1.0,35,25.5,8.69,10.0,0.81,,,3.76,3.28,1.15,,,0.3,45.0
2154,102.0,4.0,1.0,48,19.4,7.16,10.0,4.21,,,3.98,3.37,1.18,,,0.4,66.0
2219,102.0,4.0,1.0,53,14.4,7.88,10.0,1.22,,,3.88,3.13,1.24,,,0.1,43.0
1194,102.0,5.0,7.0,50,39.5,7.97,10.0,0.16,,,4.27,3.08,1.39,,,0.2,16.0
1225,102.0,5.0,5.0,406,19.4,7.02,7.3,0.14,134.0,,5.11,3.69,1.38,,,0.5,87.0
1266,102.0,5.0,6.0,52,45.9,9.25,10.0,0.12,,,3.51,2.88,1.22,,,2.0,140.0
1267,102.0,5.0,5.0,240,16.9,6.64,7.0,0.46,154.0,,5.48,3.45,1.59,,,0.6,122.0
1282,102.0,5.0,5.0,585,9.8,4.92,7.0,1.47,119.0,,6.2,3.66,1.69,,,0.3,88.0
1283,102.0,5.0,4.0,239,20.6,6.94,7.56,1.58,154.0,,5.03,3.26,1.54,,,5.2,807.0
1313,102.0,5.0,5.0,237,24.6,8.95,8.65,0.14,,,4.8,3.16,1.52,,,0.6,79.0
1315,102.0,5.0,5.0,241,24.8,7.59,8.77,0.35,,,4.83,3.31,1.46,,,0.5,68.0
1328,102.0,5.0,4.0,408,12.3,3.56,7.0,3.44,154.0,,5.88,3.78,1.56,,,0.4,108.0
1346,102.0,5.0,5.0,44,19.0,5.01,10.0,4.99,,x,4.15,3.14,1.32,,,0.3,57.0
1356,102.0,5.0,4.0,177,27.0,8.02,9.87,0.31,,,4.68,3.44,1.36,,,0.8,97.0
1368,102.0,5.0,4.0,193,23.8,8.93,9.09,0.17,,,5.53,3.63,1.52,,,0.9,111.0
1370,102.0,5.0,4.0,50,36.7,7.86,10.0,1.0,,,3.5,3.14,1.11,,,0.5,43.0
1380,102.0,5.0,3.0,220,21.2,7.48,7.64,0.12,154.0,,4.69,3.42,1.37,,,0.5,76.0
1381,102.0,5.0,3.0,384,20.2,7.32,8.29,0.21,155.0,,5.71,3.82,1.49,,,0.1,15.0
1455,102.0,5.0,3.0,390,16.6,6.69,7.0,0.33,154.0,,4.76,3.52,1.35,,,0.6,111.0
1461,102.0,5.0,3.0,247,29.1,9.57,10.06,2.19,,,5.03,3.4,1.48,,,0.8,86.0
1469,102.0,5.0,2.0,595,14.6,6.35,7.0,1.0,154.0,,6.9,3.97,1.74,,,0.6,152.0
1473,102.0,5.0,4.0,218,26.8,11.78,10.15,1.75,,,4.59,3.37,1.36,,,0.8,90.0
1902,102.0,5.0,4.0,47,28.6,10.09,10.0,0.15,,,3.74,3.14,1.19,,,1.1,119.0
1905,102.0,5.0,3.0,238,24.3,7.5,8.45,0.98,,,4.5,3.16,1.42,,,0.2,24.0
1906,102.0,5.0,4.0,25,39.5,9.51,10.0,0.17,,,4.01,3.09,1.3,,,0.3,23.0
1907,102.0,5.0,3.0,243,19.8,6.45,7.02,0.37,,,4.66,3.19,1.46,,,0.6,98.0
1909,102.0,5.0,3.0,239,23.0,9.37,8.32,0.32,,,4.76,3.3,1.44,,,0.7,97.0
1914,102.0,5.0,4.0,58,36.8,9.66,10.0,0.14,,,3.84,3.22,1.19,,,0.6,60.0
1918,102.0,5.0,2.0,235,11.5,6.1,7.0,3.45,154.0,,4.58,3.16,1.45,,,0.3,77.0
1922,102.0,5.0,3.0,202,20.0,6.67,7.69,0.5,,,5.52,3.34,1.65,,,0.7,132.0
1925,102.0,5.0,3.0,32,22.9,8.46,10.0,5.34,,,4.73,3.22,1.47,,,0.5,66.0
1926,102.0,5.0,2.0,58,34.9,5.82,10.0,0.13,,,3.38,2.86,1.18,,,1.5,136.0
2000,102.0,5.0,3.0,35,28.3,9.09,10.0,0.1,,,4.55,3.62,1.26,,,0.2,19.0
2002,102.0,5.0,2.0,213,23.5,7.67,9.01,2.06,,,4.8,3.32,1.45,,,1.0,133.0
2007,102.0,5.0,2.0,49,36.3,9.15,10.0,0.17,,,3.88,3.06,1.27,,,2.0,186.0
2008,102.0,5.0,2.0,243,20.6,6.18,7.0,1.09,,,4.27,3.07,1.39,,,0.4,69.0
2009,102.0,5.0,2.0,237,18.3,6.62,7.0,0.23,119.0,,5.25,3.22,1.63,,,0.5,90.0
2010,102.0,5.0,2.0,235,24.2,6.91,8.0,0.83,,,4.83,3.26,1.48,,,0.0,4.0
2012,102.0,5.0,2.0,220,19.9,7.56,7.71,0.24,,,4.98,3.06,1.63,,,0.3,39.0
2015,102.0,5.0,2.0,237,18.4,6.99,7.14,0.13,,,5.52,3.14,1.76,,,0.5,84.0
2020,102.0,5.0,2.0,50,30.8,7.66,10.0,2.11,,,3.17,2.92,1.09,,,1.2,134.0
2028,102.0,5.0,2.0,220,20.8,6.54,7.34,0.1,,,4.57,3.03,1.51,,,0.4,61.0
2031,102.0,5.0,2.0,243,16.0,6.75,7.0,0.07,154.0,,5.16,3.4,1.52,,,0.3,56.0
2035,102.0,5.0,2.0,51,30.8,7.82,10.0,0.13,,,4.28,2.86,1.5,,,0.1,16.0
2041,102.0,5.0,2.0,242,17.2,6.45,7.0,1.28,155.0,,5.01,3.1,1.62,,,0.2,52.0
2100,102.0,5.0,2.0,37,29.7,6.06,10.0,0.1,,x,3.51,2.92,1.2,,,0.2,17.0
2106,102.0,5.0,2.0,62,29.5,9.08,10.0,0.61,,,3.6,3.22,1.12,,,0.5,55.0
2121,102.0,5.0,2.0,54,30.2,9.28,10.0,0.15,,,4.99,2.9,1.72,Ketosis,,1.1,131.0
2026,103.0,4.0,1.0,602,13.0,7.02,7.0,0.15,129.0,,4.67,3.54,1.32,,,0.3,86.0
2036,103.0,4.0,1.0,407,17.5,6.22,7.0,0.12,155.0,,4.65,3.05,1.52,,,0.5,102.0
2042,103.0,4.0,1.0,383,17.6,6.23,7.0,1.3,132.0,,5.11,3.65,1.4,,,0.4,82.0
2108,103.0,4.0,1.0,410,12.3,5.64,7.0,1.36,154.0,,5.51,3.41,1.62,,,0.1,29.0
2109,103.0,4.0,1.0,199,19.3,6.68,7.26,0.17,,,5.03,3.33,1.51,,,0.3,56.0
2118,103.0,4.0,1.0,213,18.8,8.32,7.0,0.09,154.0,,3.74,3.15,1.19,,,0.4,70.0
2127,103.0,4.0,1.0,252,9.7,5.46,7.0,1.16,135.0,,4.47,3.48,1.28,,,0.6,204.0
2130,103.0,4.0,1.0,222,18.6,6.83,7.0,0.08,,,4.32,3.04,1.42,,,0.7,130.0
2133,103.0,4.0,1.0,242,16.3,6.92,7.0,0.22,,,4.39,3.63,1.21,,,0.2,51.0
2135,103.0,4.0,1.0,247,13.6,8.68,7.0,0.1,,,5.52,3.55,1.55,,,0.5,120.0
2136,103.0,4.0,1.0,195,12.0,3.15,7.0,0.75,154.0,,4.22,3.08,1.37,,,0.2,53.0
2137,103.0,4.0,1.0,218,9.2,7.95,7.0,0.64,132.0,x,5.19,3.19,1.63,,,0.3,79.0
2139,103.0,4.0,1.0,248,10.7,8.68,7.0,0.1,155.0,,5.12,3.57,1.43,,,0.2,65.0
2140,103.0,4.0,1.0,203,13.3,8.79,7.0,1.19,,,5.82,3.83,1.52,,,0.6,130.0
2141,103.0,4.0,1.0,244,14.1,6.03,7.0,0.24,,,4.83,3.05,1.58,,,0.2,48.0
2143,103.0,4.0,1.0,53,17.2,7.59,10.0,3.69,,,4.32,3.42,1.26,,,0.9,157.0
2152,103.0,4.0,1.0,53,26.5,7.56,10.0,0.16,,,4.0,3.24,1.23,,,0.4,48.0
2153,103.0,4.0,1.0,34,26.7,10.94,10.0,0.21,,,4.39,3.07,1.43,,,0.4,47.0
2210,103.0,4.0,1.0,20,17.9,6.16,10.0,3.84,,,4.78,3.5,1.37,,,0.4,82.0
1215,103.0,5.0,8.0,48,26.0,6.06,10.0,3.59,,,4.88,3.19,1.53,Ketosis,,0.3,46.0
1231,103.0,5.0,7.0,232,19.4,6.81,7.38,0.11,,,5.16,3.13,1.65,,,0.5,98.0
1232,103.0,5.0,5.0,224,16.0,3.03,7.55,4.52,,,4.38,3.1,1.41,,,0.5,114.0
1251,103.0,5.0,5.0,228,23.2,7.01,9.15,0.55,,,4.96,3.33,1.49,,,1.2,170.0
1256,103.0,5.0,6.0,201,18.7,6.84,7.08,0.59,155.0,,5.38,3.32,1.62,,,3.2,604.0
1264,103.0,5.0,3.0,51,45.5,9.57,10.0,0.15,,,3.7,2.76,1.34,,,0.6,49.0
1269,103.0,5.0,6.0,45,33.5,9.87,10.0,0.19,,,4.92,3.21,1.53,Ketosis,,0.7,75.0
1270,103.0,5.0,6.0,29,30.5,7.12,10.0,2.48,,,3.62,3.27,1.11,,,0.8,93.0
1273,103.0,5.0,5.0,411,14.7,6.62,7.0,0.2,133.0,,5.84,3.86,1.51,,,0.3,72.0
1281,103.0,5.0,5.0,27,43.4,7.81,10.0,0.15,,,3.45,2.69,1.28,,,0.8,68.0
1327,103.0,5.0,4.0,219,22.4,7.35,8.44,1.05,,,5.08,3.28,1.55,,,0.6,96.0
1336,103.0,5.0,4.0,241,18.4,6.47,7.55,1.29,,,6.28,3.57,1.76,,,0.7,117.0
1342,103.0,5.0,5.0,235,18.1,6.41,7.08,0.48,134.0,,6.14,3.47,1.77,,,0.5,104.0
1353,103.0,5.0,5.0,30,23.0,6.18,10.0,2.29,,,4.09,3.26,1.25,,,0.9,143.0
1366,103.0,5.0,5.0,242,19.7,7.43,7.52,0.1,,,5.37,3.47,1.55,,,0.8,128.0
1367,103.0,5.0,3.0,401,15.1,6.06,7.0,0.44,154.0,,6.35,3.44,1.85,,,0.5,100.0
1375,103.0,5.0,3.0,406,25.4,7.56,9.38,0.25,,,5.55,3.71,1.5,,,0.8,113.0
1376,103.0,5.0,3.0,222,23.0,8.02,9.49,1.21,133.0,,5.94,3.68,1.61,,,0.8,124.0
1378,103.0,5.0,3.0,196,26.2,11.55,10.0,1.24,,,4.57,3.33,1.37,,,0.5,67.0
1379,103.0,5.0,4.0,178,24.1,11.13,8.85,0.12,,,4.71,3.4,1.39,,,0.2,32.0
1388,103.0,5.0,4.0,43,33.4,9.58,10.0,0.15,,,3.36,3.11,1.08,,,0.6,63.0
1463,103.0,5.0,4.0,235,19.8,7.13,8.01,0.4,,,5.53,3.7,1.49,,,1.1,172.0
1882,103.0,5.0,3.0,236,19.1,9.34,7.83,0.08,119.0,,5.7,3.65,1.56,,,0.7,130.0
1888,103.0,5.0,3.0,202,20.4,10.16,8.22,0.31,,,6.18,4.05,1.53,,,0.8,135.0
