"Cow Number","Lac. no","Calving date","Group ","Sire","Lactation days","No of Calves","Day production","Reproduction","Last heat","Ins. Date","Since Insemination","Sire","Pregnancy Check Date","Days Pregnant","Days To Dry Off","Dry off days","Expected Dry Off Date","Dry off date","Expected calving date"
"1463","4","2023-08-21","Milking Cows","MEDALLION","235","1","19.8","Open","","2023-12-04","130","AMEN-PP","2024-01-31","","","","","",""
"1464","4","2023-03-03","Dry Cows","MONDAY","406","1","","Open","","2023-12-02","132","AUGUSTUS","2024-01-31","","","3","","2024-04-09",""
"1466","3","2023-08-21","Milking Cows","NUMERO UNO","235","1","24.4","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"1471","5","2023-03-20","Dry Cows","SKETCH","389","1","","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","3","","2024-04-09",""
"1472","4","2023-08-19","Dry Cows","","237","1","","Inseminated","","2023-11-10","154","CANDY-PP","","","","72","","2024-01-31",""
"1473","4","2023-09-07","Milking Cows","FEVER","218","1","26.8","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"1477","2","2023-08-18","Milking Cows","MEDALLION SON","238","1","18.6","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"1478","3","2023-03-08","Dry Cows","MEDALLION SON","401","1","","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","3","","2024-04-09",""
"1861","3","2023-08-09","Dry Cows","","247","1","","Inseminated","","2023-11-10","154","AMEN-PP","","","","72","","2024-01-31",""
"1881","3","2023-08-13","Milking Cows","","243","1","24.1","Open","","2023-11-09","155","AMEN-PP","2024-01-31","","","","","",""
"1888","3","2023-09-23","Milking Cows","","202","1","20.4","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"1901","3","2023-08-13","Milking Cows","SAMIRAH","243","1","21.1","Open","","2023-12-01","133","CANDY-PP","2024-01-31","","","","","",""
"1902","4","2024-02-25","Milking Cows","","47","1","28.6","Open","","","","","","","","","","",""
"1905","3","2023-08-18","Milking Cows","","238","1","24.3","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"1907","3","2023-08-13","Milking Cows","","243","2","19.8","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"1909","3","2023-08-17","Milking Cows","","239","1","23.0","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"1910","3","2023-09-25","Milking Cows","","200","1","30.8","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"1912","3","2023-09-01","Dry Cows","","224","1","","Inseminated","","2023-12-02","132","CANDY-PP","","","","99","","2024-01-04",""
"1914","4","2024-02-14","Milking Cows","","58","1","36.8","Open","","","","","","","","","","",""
"1917","3","2023-10-12","Milking Cows","","183","1","21.4","Open","","2023-12-05","129","AMEN-PP","2024-01-31","","","","","",""
"1920","3","2023-08-16","Milking Cows","","240","1","18.8","Open","","2023-11-09","155","CANDY-PP","2024-01-31","","","","","",""
"1922","3","2023-09-23","Milking Cows","","202","1","20.0","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"1923","3","2023-08-16","Milking Cows","","240","1","11.6","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"1926","2","2024-02-14","Milking Cows","","58","1","34.9","Open","","","","","","","","","","",""
"1929","2","2023-09-18","Milking Cows","Herd Bull FAVRE","207","2","16.9","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"2002","2","2023-09-12","Milking Cows","ARMITAGE","213","1","23.5","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"2005","2","2023-08-11","Milking Cows","","245","1","21.5","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"2007","2","2024-02-23","Milking Cows","WAGHU","49","1","36.3","Open","","","","","","","","","","",""
"2008","2","2023-08-13","Milking Cows","ARMITAGE","243","1","20.6","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
